creator_id,total_posts,mean_p_promotional,frac_pred_promotional,median_like_rate,mean_like_rate,median_words
48750c24d3,2,0.2600336616023067,0.0,0.05080188679245283,0.05080188679245283,84.0
487674be4a,1,0.7890199948435681,1.0,0.029341792228390166,0.029341792228390166,261.0
4883788e66,29,0.7577076675456402,0.8620689655172413,0.01588156123822342,0.018132261100319548,271.0
4884fc4bb6,2,0.5579267565819374,1.0,0.09013535684987695,0.09013535684987695,456.5
489363a1bd,8,0.04204105960788145,0.0,0.02633434842343408,0.03858860706994392,169.0
48956fe6c0,29,0.3204948918535358,0.1724137931034483,0.02120141342756184,0.023464258937715213,135.0
48bace4355,3,0.7031847751697486,0.6666666666666666,0.11246200607902736,0.1022454655129013,338.0
48bc810cee,1,0.05450238782469582,0.0,0.052795031055900624,0.052795031055900624,162.0
48c34b9c42,1,0.2199409888142655,0.0,0.054963084495488104,0.054963084495488104,74.0
48def5dff4,1,0.42728225862723884,0.0,0.04282315622521808,0.04282315622521808,345.0
48e2f9dbe4,6,0.38460749481122464,0.3333333333333333,0.05016738402678145,0.05715713253702207,358.0
48e84156a2,2,0.11295157761237981,0.0,0.0019193857965451055,0.0019193857965451055,115.0
48e9935a67,1,0.0914345887712902,0.0,0.016749379652605458,0.016749379652605458,93.0
48f1af3996,3,0.756353152705581,1.0,0.041666666666666664,0.04144880174291939,258.0
48f4f215e9,7,0.13176650516223373,0.0,0.04319586053315285,0.04573272566453939,64.0
491a0c4f24,3,0.11810695175275719,0.0,0.02735042735042735,0.0267154320144255,111.0
49247ee2db,4,0.1650287140404963,0.0,0.03787046385935737,0.04047995368626485,145.5
49269948d7,6,0.440136752858576,0.3333333333333333,0.056390243902439026,0.05171063045701441,125.0
4928661971,2,0.6730491798052463,1.0,0.018962712689636348,0.018962712689636348,98.0
495eeea09b,2,0.5046999557047172,0.5,0.10071843050566455,0.10071843050566455,465.0
49672118fa,1,0.16257011278833516,0.0,0.07391304347826087,0.07391304347826087,116.0
4967ba7de2,4,0.8729514164162988,1.0,0.05606305714237568,0.05401499597164806,313.5
